Designator,Mid X,Mid Y,Rotation,Layer
C1,189.81,-56.59,0.0,top
C2,189.81,-59.1,0.0,top
C3,189.81,-61.61,0.0,top
C4,189.81,-64.12,0.0,top
C5,189.81,-66.63,0.0,top
C6,193.82,-56.59,0.0,top
D1,202.605,-67.48,0.0,top
D2,207.37,-71.55,0.0,top
F1,193.82,-59.1,0.0,top
J1,205.68,-61.13,0.0,top
J2,180.92,-57.15,0.0,top
J3,185.51,-57.15,0.0,top
R1,193.82,-61.61,0.0,top
R2,193.82,-64.12,0.0,top
R3,193.82,-66.63,0.0,top
R4,197.83,-56.59,0.0,top
R5,197.83,-59.1,0.0,top
R6,197.83,-61.61,0.0,top
U1,195.03,-48.11,270.0,top
U2,190.38,-70.285,180.0,top
Y1,207.95,-68.03,0.0,top
